2023-05-08 09:57:20,077:INFO:TRAIN-BATCH Iter: 100, t = 1.9326, Revenue: 0.678569, Welfare: 0.353146, Buyer_Regret: 0.048194, Seller_Regret: 0.033091, Reg_Loss: 0.003500, Lag_Loss: 0.056663, Net_Loss: -0.292386, b_w_rgt: 0.099818, s_w_rgt: 0.213115, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.942914, update_rate: 1.000000
2023-05-08 09:57:22,036:INFO:TRAIN-BATCH Iter: 200, t = 3.8239, Revenue: 0.533267, Welfare: 0.328797, Buyer_Regret: 0.025911, Seller_Regret: 0.022222, Reg_Loss: 0.001321, Lag_Loss: 0.023050, Net_Loss: -0.304404, b_w_rgt: 0.125728, s_w_rgt: 0.235337, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.949475, update_rate: 1.000000
2023-05-08 09:57:23,974:INFO:TRAIN-BATCH Iter: 300, t = 5.6942, Revenue: 0.578105, Welfare: 0.370857, Buyer_Regret: 0.028360, Seller_Regret: 0.032385, Reg_Loss: 0.001981, Lag_Loss: 0.027077, Net_Loss: -0.341798, b_w_rgt: 0.154088, s_w_rgt: 0.267722, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.950430, update_rate: 1.000000
2023-05-08 09:57:25,974:INFO:TRAIN-BATCH Iter: 400, t = 7.6288, Revenue: 0.541522, Welfare: 0.336412, Buyer_Regret: 0.016607, Seller_Regret: 0.026151, Reg_Loss: 0.001027, Lag_Loss: 0.021730, Net_Loss: -0.313654, b_w_rgt: 0.170695, s_w_rgt: 0.293873, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.951050, update_rate: 1.000000
2023-05-08 09:57:27,945:INFO:TRAIN-BATCH Iter: 500, t = 9.5283, Revenue: 0.553376, Welfare: 0.379411, Buyer_Regret: 0.029618, Seller_Regret: 0.029700, Reg_Loss: 0.001907, Lag_Loss: 0.031513, Net_Loss: -0.345991, b_w_rgt: 0.200314, s_w_rgt: 0.323573, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.951417, update_rate: 1.000000
2023-05-08 09:57:29,946:INFO:TRAIN-BATCH Iter: 600, t = 11.4608, Revenue: 0.495335, Welfare: 0.364435, Buyer_Regret: 0.013971, Seller_Regret: 0.029294, Reg_Loss: 0.001090, Lag_Loss: 0.026990, Net_Loss: -0.336355, b_w_rgt: 0.214284, s_w_rgt: 0.352867, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.951666, update_rate: 1.000000
2023-05-08 09:57:31,947:INFO:TRAIN-BATCH Iter: 700, t = 13.3923, Revenue: 0.317288, Welfare: 0.337839, Buyer_Regret: 0.005046, Seller_Regret: 0.020406, Reg_Loss: 0.000446, Lag_Loss: 0.017940, Net_Loss: -0.319453, b_w_rgt: 0.219330, s_w_rgt: 0.373273, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.952210, update_rate: 1.000000
2023-05-08 09:57:33,943:INFO:TRAIN-BATCH Iter: 800, t = 15.3190, Revenue: 0.336628, Welfare: 0.372296, Buyer_Regret: 0.002888, Seller_Regret: 0.027907, Reg_Loss: 0.000807, Lag_Loss: 0.023804, Net_Loss: -0.347685, b_w_rgt: 0.222218, s_w_rgt: 0.401179, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.952337, update_rate: 1.000000
2023-05-08 09:57:35,943:INFO:TRAIN-BATCH Iter: 900, t = 17.2504, Revenue: 0.345863, Welfare: 0.401470, Buyer_Regret: 0.002847, Seller_Regret: 0.029903, Reg_Loss: 0.000966, Lag_Loss: 0.027248, Net_Loss: -0.373256, b_w_rgt: 0.225065, s_w_rgt: 0.431083, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.952387, update_rate: 1.000000
2023-05-08 09:57:37,913:INFO:TRAIN-BATCH Iter: 1000, t = 19.1533, Revenue: 0.341354, Welfare: 0.319843, Buyer_Regret: 0.001830, Seller_Regret: 0.018121, Reg_Loss: 0.000334, Lag_Loss: 0.017302, Net_Loss: -0.302206, b_w_rgt: 0.226895, s_w_rgt: 0.449204, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.952550, update_rate: 1.000000
2023-05-08 09:57:39,990:INFO:TRAIN-BATCH Iter: 1100, t = 21.1588, Revenue: 0.319979, Welfare: 0.352167, Buyer_Regret: 0.003218, Seller_Regret: 0.025599, Reg_Loss: 0.000686, Lag_Loss: 0.026047, Net_Loss: -0.325434, b_w_rgt: 0.230112, s_w_rgt: 0.474802, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.952700, update_rate: 1.000000
2023-05-08 09:57:42,137:INFO:TRAIN-BATCH Iter: 1200, t = 23.2306, Revenue: 0.319102, Welfare: 0.367988, Buyer_Regret: 0.001411, Seller_Regret: 0.025934, Reg_Loss: 0.000675, Lag_Loss: 0.026706, Net_Loss: -0.340607, b_w_rgt: 0.231523, s_w_rgt: 0.500736, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.952779, update_rate: 1.000000
2023-05-08 09:57:44,121:INFO:TRAIN-BATCH Iter: 1300, t = 25.1480, Revenue: 0.321264, Welfare: 0.324138, Buyer_Regret: 0.001914, Seller_Regret: 0.021776, Reg_Loss: 0.000478, Lag_Loss: 0.024250, Net_Loss: -0.299409, b_w_rgt: 0.233437, s_w_rgt: 0.522512, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.953417, update_rate: 1.000000
2023-05-08 09:57:46,111:INFO:TRAIN-BATCH Iter: 1400, t = 27.0702, Revenue: 0.341345, Welfare: 0.386686, Buyer_Regret: 0.001838, Seller_Regret: 0.021017, Reg_Loss: 0.000492, Lag_Loss: 0.024026, Net_Loss: -0.362169, b_w_rgt: 0.235275, s_w_rgt: 0.543529, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.953436, update_rate: 1.000000
2023-05-08 09:57:48,106:INFO:TRAIN-BATCH Iter: 1500, t = 28.9981, Revenue: 0.341071, Welfare: 0.360102, Buyer_Regret: 0.001075, Seller_Regret: 0.020216, Reg_Loss: 0.000437, Lag_Loss: 0.023210, Net_Loss: -0.336455, b_w_rgt: 0.236350, s_w_rgt: 0.563745, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.953515, update_rate: 1.000000
2023-05-08 09:57:50,119:INFO:TRAIN-BATCH Iter: 1600, t = 30.9426, Revenue: 0.374914, Welfare: 0.360777, Buyer_Regret: 0.001428, Seller_Regret: 0.024314, Reg_Loss: 0.000597, Lag_Loss: 0.029285, Net_Loss: -0.330896, b_w_rgt: 0.237778, s_w_rgt: 0.588059, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.953582, update_rate: 1.000000
2023-05-08 09:57:52,114:INFO:TRAIN-BATCH Iter: 1700, t = 32.8698, Revenue: 0.334076, Welfare: 0.343783, Buyer_Regret: 0.002034, Seller_Regret: 0.018163, Reg_Loss: 0.000351, Lag_Loss: 0.023081, Net_Loss: -0.320351, b_w_rgt: 0.239812, s_w_rgt: 0.606222, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.953761, update_rate: 1.000000
2023-05-08 09:57:54,099:INFO:TRAIN-BATCH Iter: 1800, t = 34.7866, Revenue: 0.328926, Welfare: 0.321448, Buyer_Regret: 0.000673, Seller_Regret: 0.015925, Reg_Loss: 0.000254, Lag_Loss: 0.020243, Net_Loss: -0.300951, b_w_rgt: 0.240485, s_w_rgt: 0.622148, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.953860, update_rate: 1.000000
2023-05-08 09:57:56,096:INFO:TRAIN-BATCH Iter: 1900, t = 36.7145, Revenue: 0.304119, Welfare: 0.334229, Buyer_Regret: 0.000480, Seller_Regret: 0.018027, Reg_Loss: 0.000359, Lag_Loss: 0.023540, Net_Loss: -0.310330, b_w_rgt: 0.240965, s_w_rgt: 0.640175, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.953895, update_rate: 1.000000
2023-05-08 09:57:58,074:INFO:TRAIN-BATCH Iter: 2000, t = 38.6253, Revenue: 0.340709, Welfare: 0.404295, Buyer_Regret: 0.000584, Seller_Regret: 0.029056, Reg_Loss: 0.000845, Lag_Loss: 0.039293, Net_Loss: -0.364157, b_w_rgt: 0.241549, s_w_rgt: 0.669231, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.954032, update_rate: 1.000000
2023-05-08 09:58:00,070:INFO:TRAIN-BATCH Iter: 2100, t = 40.5548, Revenue: 0.344219, Welfare: 0.335614, Buyer_Regret: 0.000936, Seller_Regret: 0.015099, Reg_Loss: 0.000229, Lag_Loss: 0.021219, Net_Loss: -0.314165, b_w_rgt: 0.242485, s_w_rgt: 0.684331, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.954109, update_rate: 1.000000
2023-05-08 09:58:02,063:INFO:TRAIN-BATCH Iter: 2200, t = 42.4837, Revenue: 0.295412, Welfare: 0.332128, Buyer_Regret: 0.000616, Seller_Regret: 0.017208, Reg_Loss: 0.000398, Lag_Loss: 0.025032, Net_Loss: -0.306698, b_w_rgt: 0.243101, s_w_rgt: 0.701538, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.954153, update_rate: 1.000000
2023-05-08 09:58:04,039:INFO:TRAIN-BATCH Iter: 2300, t = 44.3921, Revenue: 0.322621, Welfare: 0.370346, Buyer_Regret: 0.000683, Seller_Regret: 0.022166, Reg_Loss: 0.000494, Lag_Loss: 0.032536, Net_Loss: -0.337317, b_w_rgt: 0.243784, s_w_rgt: 0.723704, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.954355, update_rate: 1.000000
2023-05-08 09:58:06,016:INFO:TRAIN-BATCH Iter: 2400, t = 46.3026, Revenue: 0.345599, Welfare: 0.311069, Buyer_Regret: 0.000655, Seller_Regret: 0.017473, Reg_Loss: 0.000306, Lag_Loss: 0.026268, Net_Loss: -0.284495, b_w_rgt: 0.244439, s_w_rgt: 0.741177, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.954363, update_rate: 1.000000
2023-05-08 09:58:07,991:INFO:TRAIN-BATCH Iter: 2500, t = 48.2133, Revenue: 0.359377, Welfare: 0.381927, Buyer_Regret: 0.000578, Seller_Regret: 0.025911, Reg_Loss: 0.000675, Lag_Loss: 0.039967, Net_Loss: -0.341285, b_w_rgt: 0.245017, s_w_rgt: 0.767088, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.954382, update_rate: 1.000000
2023-05-08 09:58:09,986:INFO:TRAIN-BATCH Iter: 2600, t = 50.1402, Revenue: 0.318894, Welfare: 0.321129, Buyer_Regret: 0.000561, Seller_Regret: 0.016937, Reg_Loss: 0.000303, Lag_Loss: 0.026717, Net_Loss: -0.294110, b_w_rgt: 0.245578, s_w_rgt: 0.784025, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.954432, update_rate: 1.000000
