2023-05-08 11:35:09,928:INFO:TRAIN-BATCH Iter: 201500, t = 17.5551, Revenue: 0.380954, Welfare: 0.387653, Buyer_Regret: 0.000105, Seller_Regret: 0.000164, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000538, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:12,885:INFO:TRAIN-BATCH Iter: 201600, t = 18.7982, Revenue: 0.433754, Welfare: 0.386348, Buyer_Regret: 0.000238, Seller_Regret: 0.000269, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001015, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:15,872:INFO:TRAIN-BATCH Iter: 201700, t = 20.0351, Revenue: 0.385813, Welfare: 0.368184, Buyer_Regret: 0.000251, Seller_Regret: 0.000149, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000800, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:18,831:INFO:TRAIN-BATCH Iter: 201800, t = 21.2737, Revenue: 0.389701, Welfare: 0.347919, Buyer_Regret: 0.000138, Seller_Regret: 0.000171, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000618, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:21,787:INFO:TRAIN-BATCH Iter: 201900, t = 22.5130, Revenue: 0.354059, Welfare: 0.356111, Buyer_Regret: 0.000098, Seller_Regret: 0.001215, Reg_Loss: 0.000002, Lag_Loss: 0.000000, Net_Loss: 0.002625, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:24,739:INFO:TRAIN-BATCH Iter: 202000, t = 23.7497, Revenue: 0.423321, Welfare: 0.434187, Buyer_Regret: 0.000098, Seller_Regret: 0.000692, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.001580, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:27,700:INFO:TRAIN-BATCH Iter: 202100, t = 24.9855, Revenue: 0.414337, Welfare: 0.364825, Buyer_Regret: 0.000047, Seller_Regret: 0.000276, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000646, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:30,658:INFO:TRAIN-BATCH Iter: 202200, t = 26.2221, Revenue: 0.356554, Welfare: 0.371282, Buyer_Regret: 0.000203, Seller_Regret: 0.000264, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000935, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:33,614:INFO:TRAIN-BATCH Iter: 202300, t = 27.4596, Revenue: 0.405057, Welfare: 0.403456, Buyer_Regret: 0.000101, Seller_Regret: 0.000207, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000616, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:36,500:INFO:TRAIN-BATCH Iter: 202400, t = 28.6966, Revenue: 0.387533, Welfare: 0.324548, Buyer_Regret: 0.000041, Seller_Regret: 0.000316, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000716, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
