2023-05-08 09:58:47,760:INFO:TRAIN-BATCH Iter: 1500, t = 31.0313, Revenue: 0.608476, Welfare: 0.585929, Buyer_Regret: 0.008864, Seller_Regret: 0.031028, Reg_Loss: 0.001623, Lag_Loss: 0.058940, Net_Loss: -0.525365, b_w_rgt: 0.312118, s_w_rgt: 0.508218, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.642724, update_rate: 1.000000
2023-05-08 09:58:49,971:INFO:TRAIN-BATCH Iter: 1600, t = 33.1041, Revenue: 0.581629, Welfare: 0.592331, Buyer_Regret: 0.006096, Seller_Regret: 0.026766, Reg_Loss: 0.001214, Lag_Loss: 0.055117, Net_Loss: -0.535992, b_w_rgt: 0.318214, s_w_rgt: 0.534984, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.646921, update_rate: 1.000000
2023-05-08 09:58:52,185:INFO:TRAIN-BATCH Iter: 1700, t = 35.1774, Revenue: 0.622573, Welfare: 0.603827, Buyer_Regret: 0.006798, Seller_Regret: 0.044209, Reg_Loss: 0.003351, Lag_Loss: 0.093791, Net_Loss: -0.506666, b_w_rgt: 0.325012, s_w_rgt: 0.579193, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.653054, update_rate: 1.000000
2023-05-08 09:58:54,405:INFO:TRAIN-BATCH Iter: 1800, t = 37.2636, Revenue: 0.628481, Welfare: 0.586117, Buyer_Regret: 0.003956, Seller_Regret: 0.026531, Reg_Loss: 0.001149, Lag_Loss: 0.062551, Net_Loss: -0.522395, b_w_rgt: 0.328968, s_w_rgt: 0.605724, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.659654, update_rate: 1.000000
2023-05-08 09:58:56,621:INFO:TRAIN-BATCH Iter: 1900, t = 39.3432, Revenue: 0.626218, Welfare: 0.641949, Buyer_Regret: 0.003784, Seller_Regret: 0.031659, Reg_Loss: 0.001579, Lag_Loss: 0.079003, Net_Loss: -0.561331, b_w_rgt: 0.332752, s_w_rgt: 0.637383, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.668111, update_rate: 1.000000
2023-05-08 09:58:58,848:INFO:TRAIN-BATCH Iter: 2000, t = 41.4353, Revenue: 0.672745, Welfare: 0.641689, Buyer_Regret: 0.006068, Seller_Regret: 0.037414, Reg_Loss: 0.002236, Lag_Loss: 0.093974, Net_Loss: -0.545457, b_w_rgt: 0.338820, s_w_rgt: 0.674797, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.674735, update_rate: 1.000000
2023-05-08 09:59:01,095:INFO:TRAIN-BATCH Iter: 2100, t = 43.5475, Revenue: 0.603851, Welfare: 0.610023, Buyer_Regret: 0.006955, Seller_Regret: 0.026941, Reg_Loss: 0.001404, Lag_Loss: 0.074945, Net_Loss: -0.533657, b_w_rgt: 0.345776, s_w_rgt: 0.701738, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.680691, update_rate: 1.000000
2023-05-08 09:59:03,346:INFO:TRAIN-BATCH Iter: 2200, t = 45.6607, Revenue: 0.594229, Welfare: 0.583575, Buyer_Regret: 0.005649, Seller_Regret: 0.032911, Reg_Loss: 0.001731, Lag_Loss: 0.093117, Net_Loss: -0.488686, b_w_rgt: 0.351425, s_w_rgt: 0.734649, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.689740, update_rate: 1.000000
2023-05-08 09:59:05,592:INFO:TRAIN-BATCH Iter: 2300, t = 47.7694, Revenue: 0.641384, Welfare: 0.604825, Buyer_Regret: 0.004805, Seller_Regret: 0.026733, Reg_Loss: 0.001160, Lag_Loss: 0.085794, Net_Loss: -0.517808, b_w_rgt: 0.356230, s_w_rgt: 0.761382, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.700928, update_rate: 1.000000
2023-05-08 09:59:07,840:INFO:TRAIN-BATCH Iter: 2400, t = 49.8791, Revenue: 0.623180, Welfare: 0.598053, Buyer_Regret: 0.003789, Seller_Regret: 0.030100, Reg_Loss: 0.001418, Lag_Loss: 0.079886, Net_Loss: -0.516748, b_w_rgt: 0.360019, s_w_rgt: 0.791482, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.703024, update_rate: 1.000000
2023-05-08 09:59:10,075:INFO:TRAIN-BATCH Iter: 2500, t = 51.9772, Revenue: 0.627741, Welfare: 0.578011, Buyer_Regret: 0.003701, Seller_Regret: 0.024405, Reg_Loss: 0.001129, Lag_Loss: 0.079022, Net_Loss: -0.497832, b_w_rgt: 0.363719, s_w_rgt: 0.815887, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.710626, update_rate: 1.000000
2023-05-08 09:59:12,317:INFO:TRAIN-BATCH Iter: 2600, t = 54.0826, Revenue: 0.641915, Welfare: 0.680461, Buyer_Regret: 0.005223, Seller_Regret: 0.030938, Reg_Loss: 0.001586, Lag_Loss: 0.089487, Net_Loss: -0.589381, b_w_rgt: 0.368942, s_w_rgt: 0.846826, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.714285, update_rate: 1.000000
2023-05-08 09:59:14,544:INFO:TRAIN-BATCH Iter: 2700, t = 56.1718, Revenue: 0.596731, Welfare: 0.588177, Buyer_Regret: 0.002114, Seller_Regret: 0.031667, Reg_Loss: 0.001545, Lag_Loss: 0.111243, Net_Loss: -0.475284, b_w_rgt: 0.371056, s_w_rgt: 0.878493, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.728841, update_rate: 1.000000
2023-05-08 09:59:16,809:INFO:TRAIN-BATCH Iter: 2800, t = 58.3013, Revenue: 0.626783, Welfare: 0.665815, Buyer_Regret: 0.003663, Seller_Regret: 0.029143, Reg_Loss: 0.001331, Lag_Loss: 0.086229, Net_Loss: -0.578253, b_w_rgt: 0.374719, s_w_rgt: 0.907636, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.730810, update_rate: 1.000000
2023-05-08 09:59:19,051:INFO:TRAIN-BATCH Iter: 2900, t = 60.4059, Revenue: 0.583306, Welfare: 0.585812, Buyer_Regret: 0.002969, Seller_Regret: 0.030248, Reg_Loss: 0.001456, Lag_Loss: 0.101885, Net_Loss: -0.482438, b_w_rgt: 0.377687, s_w_rgt: 0.937884, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.738935, update_rate: 1.000000
2023-05-08 09:59:21,302:INFO:TRAIN-BATCH Iter: 3000, t = 62.5213, Revenue: 0.648829, Welfare: 0.618220, Buyer_Regret: 0.004125, Seller_Regret: 0.032109, Reg_Loss: 0.001610, Lag_Loss: 0.105015, Net_Loss: -0.511587, b_w_rgt: 0.381812, s_w_rgt: 0.969994, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.742991, update_rate: 1.000000
2023-05-08 09:59:23,547:INFO:TRAIN-BATCH Iter: 3100, t = 64.6280, Revenue: 0.591693, Welfare: 0.591092, Buyer_Regret: 0.004546, Seller_Regret: 0.021884, Reg_Loss: 0.000752, Lag_Loss: 0.087091, Net_Loss: -0.503204, b_w_rgt: 0.386358, s_w_rgt: 0.991877, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.752484, update_rate: 1.000000
2023-05-08 09:59:25,788:INFO:TRAIN-BATCH Iter: 3200, t = 66.7339, Revenue: 0.564447, Welfare: 0.544277, Buyer_Regret: 0.004012, Seller_Regret: 0.026846, Reg_Loss: 0.001157, Lag_Loss: 0.096208, Net_Loss: -0.446900, b_w_rgt: 0.390370, s_w_rgt: 1.018723, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.757350, update_rate: 1.000000
2023-05-08 09:59:28,030:INFO:TRAIN-BATCH Iter: 3300, t = 68.8388, Revenue: 0.582689, Welfare: 0.640929, Buyer_Regret: 0.004264, Seller_Regret: 0.029655, Reg_Loss: 0.001551, Lag_Loss: 0.113003, Net_Loss: -0.526342, b_w_rgt: 0.394633, s_w_rgt: 1.048378, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.765384, update_rate: 1.000000
2023-05-08 09:59:30,282:INFO:TRAIN-BATCH Iter: 3400, t = 70.9511, Revenue: 0.548046, Welfare: 0.567209, Buyer_Regret: 0.004476, Seller_Regret: 0.029378, Reg_Loss: 0.001449, Lag_Loss: 0.114950, Net_Loss: -0.450783, b_w_rgt: 0.399109, s_w_rgt: 1.077756, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.772637, update_rate: 1.000000
2023-05-08 09:59:32,542:INFO:TRAIN-BATCH Iter: 3500, t = 73.0730, Revenue: 0.614407, Welfare: 0.607705, Buyer_Regret: 0.002937, Seller_Regret: 0.019483, Reg_Loss: 0.000677, Lag_Loss: 0.076546, Net_Loss: -0.530466, b_w_rgt: 0.402046, s_w_rgt: 1.097239, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.778383, update_rate: 1.000000
2023-05-08 09:59:34,792:INFO:TRAIN-BATCH Iter: 3600, t = 75.1862, Revenue: 0.598560, Welfare: 0.552477, Buyer_Regret: 0.002300, Seller_Regret: 0.021567, Reg_Loss: 0.000720, Lag_Loss: 0.098582, Net_Loss: -0.453090, b_w_rgt: 0.404346, s_w_rgt: 1.118807, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.791355, update_rate: 1.000000
2023-05-08 09:59:37,046:INFO:TRAIN-BATCH Iter: 3700, t = 77.3010, Revenue: 0.614710, Welfare: 0.605203, Buyer_Regret: 0.002675, Seller_Regret: 0.026466, Reg_Loss: 0.001105, Lag_Loss: 0.105549, Net_Loss: -0.498527, b_w_rgt: 0.407021, s_w_rgt: 1.145273, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.797987, update_rate: 1.000000
2023-05-08 09:59:39,287:INFO:TRAIN-BATCH Iter: 3800, t = 79.4048, Revenue: 0.556707, Welfare: 0.594976, Buyer_Regret: 0.002785, Seller_Regret: 0.033272, Reg_Loss: 0.001687, Lag_Loss: 0.146716, Net_Loss: -0.446469, b_w_rgt: 0.409806, s_w_rgt: 1.178545, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.812374, update_rate: 1.000000
2023-05-08 09:59:41,542:INFO:TRAIN-BATCH Iter: 3900, t = 81.5002, Revenue: 0.567742, Welfare: 0.630864, Buyer_Regret: 0.002235, Seller_Regret: 0.029936, Reg_Loss: 0.001355, Lag_Loss: 0.119536, Net_Loss: -0.509962, b_w_rgt: 0.412040, s_w_rgt: 1.208481, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.816815, update_rate: 1.000000
2023-05-08 09:59:43,877:INFO:TRAIN-BATCH Iter: 4000, t = 83.6154, Revenue: 0.577914, Welfare: 0.564399, Buyer_Regret: 0.002326, Seller_Regret: 0.018489, Reg_Loss: 0.000610, Lag_Loss: 0.090263, Net_Loss: -0.473468, b_w_rgt: 0.414366, s_w_rgt: 1.226970, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.827634, update_rate: 1.000000
2023-05-08 09:59:46,203:INFO:TRAIN-BATCH Iter: 4100, t = 85.7285, Revenue: 0.612625, Welfare: 0.597672, Buyer_Regret: 0.001529, Seller_Regret: 0.019024, Reg_Loss: 0.000549, Lag_Loss: 0.084283, Net_Loss: -0.512821, b_w_rgt: 0.415896, s_w_rgt: 1.245994, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.833861, update_rate: 1.000000
2023-05-08 09:59:48,553:INFO:TRAIN-BATCH Iter: 4200, t = 87.8584, Revenue: 0.613933, Welfare: 0.599058, Buyer_Regret: 0.003358, Seller_Regret: 0.024860, Reg_Loss: 0.000961, Lag_Loss: 0.113256, Net_Loss: -0.484809, b_w_rgt: 0.419253, s_w_rgt: 1.270854, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.841752, update_rate: 1.000000
2023-05-08 09:59:50,873:INFO:TRAIN-BATCH Iter: 4300, t = 89.9584, Revenue: 0.558780, Welfare: 0.536481, Buyer_Regret: 0.001522, Seller_Regret: 0.018455, Reg_Loss: 0.000727, Lag_Loss: 0.105780, Net_Loss: -0.429815, b_w_rgt: 0.420775, s_w_rgt: 1.289309, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.859566, update_rate: 1.000000
2023-05-08 09:59:53,194:INFO:TRAIN-BATCH Iter: 4400, t = 92.0588, Revenue: 0.572519, Welfare: 0.641511, Buyer_Regret: 0.002376, Seller_Regret: 0.026837, Reg_Loss: 0.001245, Lag_Loss: 0.114245, Net_Loss: -0.526017, b_w_rgt: 0.423150, s_w_rgt: 1.316146, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.862276, update_rate: 1.000000
2023-05-08 09:59:55,335:INFO:TRAIN-BATCH Iter: 4500, t = 93.9874, Revenue: 0.557593, Welfare: 0.550107, Buyer_Regret: 0.003678, Seller_Regret: 0.015311, Reg_Loss: 0.000390, Lag_Loss: 0.078055, Net_Loss: -0.471641, b_w_rgt: 0.426828, s_w_rgt: 1.331457, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.868816, update_rate: 1.000000
2023-05-08 09:59:57,342:INFO:TRAIN-BATCH Iter: 4600, t = 95.7925, Revenue: 0.599077, Welfare: 0.590456, Buyer_Regret: 0.002537, Seller_Regret: 0.024271, Reg_Loss: 0.000906, Lag_Loss: 0.115240, Net_Loss: -0.474286, b_w_rgt: 0.429365, s_w_rgt: 1.355729, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.875782, update_rate: 1.000000
2023-05-08 09:59:59,336:INFO:TRAIN-BATCH Iter: 4700, t = 97.5854, Revenue: 0.647142, Welfare: 0.601371, Buyer_Regret: 0.002723, Seller_Regret: 0.021609, Reg_Loss: 0.000741, Lag_Loss: 0.105291, Net_Loss: -0.495319, b_w_rgt: 0.432088, s_w_rgt: 1.377338, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.882116, update_rate: 1.000000
2023-05-08 10:00:01,340:INFO:TRAIN-BATCH Iter: 4800, t = 99.3917, Revenue: 0.621399, Welfare: 0.634964, Buyer_Regret: 0.003187, Seller_Regret: 0.036350, Reg_Loss: 0.002085, Lag_Loss: 0.168383, Net_Loss: -0.464486, b_w_rgt: 0.435275, s_w_rgt: 1.413688, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.886815, update_rate: 1.000000
2023-05-08 10:00:03,385:INFO:TRAIN-BATCH Iter: 4900, t = 101.2280, Revenue: 0.565713, Welfare: 0.575038, Buyer_Regret: 0.001782, Seller_Regret: 0.020872, Reg_Loss: 0.000721, Lag_Loss: 0.106296, Net_Loss: -0.467990, b_w_rgt: 0.437057, s_w_rgt: 1.434561, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.894603, update_rate: 1.000000
