2023-05-08 11:36:28,359:INFO:TRAIN-BATCH Iter: 200100, t = 1.3034, Revenue: 0.661499, Welfare: 0.634626, Buyer_Regret: 0.000377, Seller_Regret: 0.000179, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001670, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:31,299:INFO:TRAIN-BATCH Iter: 200200, t = 2.5926, Revenue: 0.612989, Welfare: 0.661881, Buyer_Regret: 0.000358, Seller_Regret: 0.000680, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.003115, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:34,234:INFO:TRAIN-BATCH Iter: 200300, t = 3.8951, Revenue: 0.685678, Welfare: 0.631643, Buyer_Regret: 0.000210, Seller_Regret: 0.000500, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.002131, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:37,168:INFO:TRAIN-BATCH Iter: 200400, t = 5.1801, Revenue: 0.634617, Welfare: 0.643093, Buyer_Regret: 0.000274, Seller_Regret: 0.000518, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.002376, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:40,110:INFO:TRAIN-BATCH Iter: 200500, t = 6.4603, Revenue: 0.668210, Welfare: 0.647708, Buyer_Regret: 0.000235, Seller_Regret: 0.000294, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001588, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:43,045:INFO:TRAIN-BATCH Iter: 200600, t = 7.7427, Revenue: 0.602256, Welfare: 0.621641, Buyer_Regret: 0.000217, Seller_Regret: 0.000512, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.002188, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:45,982:INFO:TRAIN-BATCH Iter: 200700, t = 9.0423, Revenue: 0.654204, Welfare: 0.610721, Buyer_Regret: 0.000359, Seller_Regret: 0.000479, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.002512, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:48,924:INFO:TRAIN-BATCH Iter: 200800, t = 10.3420, Revenue: 0.616929, Welfare: 0.647558, Buyer_Regret: 0.000382, Seller_Regret: 0.001162, Reg_Loss: 0.000004, Lag_Loss: 0.000000, Net_Loss: 0.004632, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:51,863:INFO:TRAIN-BATCH Iter: 200900, t = 11.6468, Revenue: 0.711588, Welfare: 0.661757, Buyer_Regret: 0.000273, Seller_Regret: 0.000372, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001933, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:54,807:INFO:TRAIN-BATCH Iter: 201000, t = 12.9459, Revenue: 0.650622, Welfare: 0.658380, Buyer_Regret: 0.000262, Seller_Regret: 0.000724, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.002958, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:57,700:INFO:TRAIN-BATCH Iter: 201100, t = 14.2434, Revenue: 0.649095, Welfare: 0.598136, Buyer_Regret: 0.000223, Seller_Regret: 0.000389, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001835, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:37:00,531:INFO:TRAIN-BATCH Iter: 201200, t = 15.5372, Revenue: 0.695625, Welfare: 0.680517, Buyer_Regret: 0.000137, Seller_Regret: 0.000424, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001683, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:37:03,465:INFO:TRAIN-BATCH Iter: 201300, t = 16.8357, Revenue: 0.632598, Welfare: 0.617528, Buyer_Regret: 0.000116, Seller_Regret: 0.000381, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001492, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:37:06,406:INFO:TRAIN-BATCH Iter: 201400, t = 18.1337, Revenue: 0.605103, Welfare: 0.601152, Buyer_Regret: 0.000168, Seller_Regret: 0.000381, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001647, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:37:09,335:INFO:TRAIN-BATCH Iter: 201500, t = 19.4345, Revenue: 0.671907, Welfare: 0.597625, Buyer_Regret: 0.000337, Seller_Regret: 0.000433, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.002310, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
