2023-03-27 17:25:05,961:INFO:TRAIN-BATCH Iter: 100, t = 2.4437, Revenue: 0.616004, Welfare: 0.616188, Buyer_Regret: 0.000290, Seller_Regret: 0.000057, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001041, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 17:25:07,636:INFO:TRAIN-BATCH Iter: 200, t = 4.0992, Revenue: 0.573548, Welfare: 0.647774, Buyer_Regret: 0.000164, Seller_Regret: 0.000367, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001591, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 17:25:09,285:INFO:TRAIN-BATCH Iter: 300, t = 5.7296, Revenue: 0.649753, Welfare: 0.611280, Buyer_Regret: 0.000169, Seller_Regret: 0.000092, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000785, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 17:25:11,123:INFO:TRAIN-BATCH Iter: 400, t = 7.5435, Revenue: 0.606754, Welfare: 0.628724, Buyer_Regret: 0.000192, Seller_Regret: 0.000201, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001180, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 17:25:12,930:INFO:TRAIN-BATCH Iter: 500, t = 9.3308, Revenue: 0.624259, Welfare: 0.625707, Buyer_Regret: 0.000278, Seller_Regret: 0.000117, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001185, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 17:25:14,715:INFO:TRAIN-BATCH Iter: 600, t = 11.0962, Revenue: 0.572792, Welfare: 0.605944, Buyer_Regret: 0.000213, Seller_Regret: 0.000039, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000755, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 17:25:16,465:INFO:TRAIN-BATCH Iter: 700, t = 12.8284, Revenue: 0.617551, Welfare: 0.592289, Buyer_Regret: 0.000118, Seller_Regret: 0.000387, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001516, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 17:25:18,230:INFO:TRAIN-BATCH Iter: 800, t = 14.5744, Revenue: 0.587181, Welfare: 0.631344, Buyer_Regret: 0.000150, Seller_Regret: 0.000583, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.002201, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 17:25:19,969:INFO:TRAIN-BATCH Iter: 900, t = 16.2954, Revenue: 0.674477, Welfare: 0.636712, Buyer_Regret: 0.000182, Seller_Regret: 0.000091, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000818, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 17:25:21,721:INFO:TRAIN-BATCH Iter: 1000, t = 18.0271, Revenue: 0.627562, Welfare: 0.634986, Buyer_Regret: 0.000151, Seller_Regret: 0.000270, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001262, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 17:25:23,461:INFO:TRAIN-BATCH Iter: 1100, t = 19.7473, Revenue: 0.612474, Welfare: 0.580311, Buyer_Regret: 0.000107, Seller_Regret: 0.000212, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000959, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
